Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Launch Site,Payload Mass,Launch Outcome,Version Booster,Booster Landing,Date,Time
83,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5,Failure,18 March 2020,12:16
84,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5,Success,22 April 2020,19:30
85,,Crew Dragon Demo-2,,LEO,NASA,,KSC,"12,530 kg","Success
",F9 B5,Success,30 May 2020,19:22
86,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5,Success,4 June 2020,01:25
87,,Starlink,,LEO,SpaceX,,CCAFS,"15,410 kg","Success
",F9 B5,Success,13 June 2020,09:21
88,,GPS III,,MEO,U.S. Space Force,,CCAFS,"4,311 kg","Success
",F9 B5,Success,30 June 2020,20:10:46
89,,ANASIS-II,,GTO,Republic of Korea Army,,CCAFS,"5,000–6,000 kg","Success
",F9 B5B1058.2,Success,20 July 2020,21:30
90,,Starlink,,LEO,SpaceX,,KSC,"14,932 kg","Success
",F9 B5,Success,7 August 2020,05:12
91,,Starlink,,LEO,SpaceX,,CCAFS,"~15,440 kg","Success
",F9 B5B1049.6,Success,18 August 2020,14:31
92,,SAOCOM 1B,,SSO,CONAE,,CCAFS,"3,130 kg","Success
",F9 B5,Success,30 August 2020,23:18
93,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
94,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
95,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
96,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5,Success,24 October 2020,15:31:34
97,,GPS III,,MEO,USSF,,CCAFS,"4,311 kg","Success
",F9 B5,Success,5 November 2020,23:24:23
98,,Crew-1,,LEO,NASA,,KSC,"~12,500 kg","Success
",F9 B5,Success,16 November 2020,00:27
99,,Sentinel-6 Michael Freilich (Jason-CS A),,LEO,NASA,,VAFB,"1,192 kg","Success
",F9 B5,Success,21 November 2020,17:17:08
100,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5 ♺,Success,25 November 2020,02:13
101,,SpaceX CRS-21,,LEO,NASA,,KSC,"2,972 kg","Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
102,,SXM-7,,GTO,Sirius XM,,CCSFS,"7,000 kg","Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,,NROL-108,,LEO,NRO,,KSC,C,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
104,,Türksat 5A,,GTO,Türksat,,CCSFS,"3,500 kg","Success
",F9 B5,Success,8 January 2021,02:15
105,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1051.8,Success,20 January 2021,13:02
106,,Transporter-1,,SSO,TBD,,CCSFS,"~5,000 kg","Success
",F9 B5B1058.5,Success,24 January 2021,15:00
107,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5 ♺,Success,4 February 2021,06:19
108,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5 ♺,Failure,16 February 2021,03:59:37
109,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5 ♺,Success,4 March 2021,08:24
110,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5 ♺,Success,11 March 2021,08:13:29
111,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5 ♺,Success,14 March 2021,10:01
112,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5B1060.6,Success,24 March 2021,08:28
113,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5 ♺,Success,7 April 2021,16:34
114,,Crew-2,,LEO,NASA,,KSC,"~13,000 kg","Success
",F9 B5B1061.2,Success,23 April 2021,9:49
115,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5B1060.7,Success,29 April 2021,03:44
116,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1049.9,Success,4 May 2021,19:01
117,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5B1051.10,Success,9 May 2021,06:42
118,,Starlink,,LEO,SpaceX,,KSC,"~14,000 kg","Success
",F9 B5B1058.8,Success,15 May 2021,22:56
119,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5B1063.2,Success,26 May 2021,18:59
120,,SpaceX CRS-22,,LEO,NASA,,KSC,"3,328 kg","Success
",F9 B5B1067.1,Success,3 June 2021,17:29
121,,SXM-8,,GTO,Sirius XM,,CCSFS,"7,000 kg","Success
",F9 B5,Success,6 June 2021,04:26
